word,weight
bunuh,-5
burai,-5
buram,-3
buras,-4
buruk,-5
busuk,-5
busut,-4
buta,-3
buta hati,-4
butek,-3
butut,-5
buyut,-3
caba,-4
cabar,-4
cabau,-3
cabik,-3
cabuh,-3
cabul,-5
cabut,-5
cacat,-5
cacatan,-5
cacau,-5
cacauan,-4
caci,-5
caci maki,-5
cacian,-5
cacing,-4
cacing es,-4
cacing gelang-gelang,-4
cacing gila,-4
cacing gilig,-4
cacing ginjal,-4
cacing hati,-2
cacing hitadid,-4
cacing jantung,-4
cacing kalung,-4
cacing karawit,-3
cacing kentar,-4
cacing keremi,-4
cacing palolo,-4
cacing pipih,-4
cacing pita,-4
cacing rambut kuda,-4
cacing tambang,-2
cacing tanah,-4
cadas,-3
cagaran,-3
cahari,-3
caing,-3
cakap angin,-4
cakus,-4
calar,-3
calit,-5
campak,-4
campakkan,-4
camping,-3
campur aduk,-2
campur tangan,-5
candal,-5
candala,-5
canggung,-4
cangkul,-4
cangkum,-3
capak,-4
cape,-4
capek,-2
caplak,-4
cari muka,-4
cariin,-2
carik,-5
caruk,-4
carut,-5
catak,-4
catut,-3
cebik,-3
cecap,-5
cecer,-3
ceceran,-3
cecunguk,-5
cedera,-4
cedih,-3
cegat,-3
cekah,-4
cekak,-3
cekang,-3
cekau,-2
cekluk,-4
cekok,-3
ceku,-5
cekuh,-3
cekung,-4
cela,-4
celaan,-5
celah,-3
celaka,-5
celampak,-3
celemotan,-4
celetuk,-5
celih,-4
celomes,-4
celomok,-4
celonok,-3
celopar,-4
celoteh,-1
celuk,-3
cema,-5
cemar,-5
cemas,-3
cemat,-5
cemberut,-4
cembung,-3
cemburu,-5
cemeeh,-4
cemeh,-4
cemeti dewa,-2
cemomot,-4
cemong,-4
cemooh,-5
cemoohan,-4
cempala mulut,-5
cempek,-4
cempelung,-5
cempeng,-4
cempera,-5
cempung,-4
cemuas,-4
cena,-3
cencala,-5
cendala,-5
cengeng,-4
cengger,-3
cengkedi,-4
cengkerama,-2
cengung,-3
centang,-5
cepol,-4
cerabah,-5
cerabih,-4
ceracam,-4
ceracau,-4
cerai,-4
cerai-berai,-5
cerca,-4
cercaan,-4
cerewet,-5
cerita burung,-5
cerita khayal,-2
cerita rekaan,-4
ceriwis,-4
ceroboh,-5
ceronggah,-4
ceruk,-3
cerup,-3
cetek,-3
cetera,-4
cetus,-1
cetusan,-1
cewa,-3
cibir,-5
cicik,-4
cikun,-5
cilok,-3
cimeng,-3
cincong,-5
cingangah,-4
ciplak,-3
cirit,-5
ciuman,-3
ciut,-3
claim,-3
classy,-2
close,-2
closed,-3
cobaan,-5
cocor,-3
colak-caling,-5
coleng,-4
colong,-5
comberan,-4
comblang,-5
comeback,-2
comot,-2
compeng,-4
compes,-4
condong,-5
congek,-3
congkak,-3
congkel,-4
congor,-3
conteng,-3
coplok,-3
coreng moreng,-4
corengmoreng,-4
cotok,-3
crash,-4
cry,-3
cuai,-4
cuak,-4
cubit,-3
cuca,-3
cucok,-1
cucuk,-3
cucup,-3
cucut,-3
cuek,-4
cuekin,-3
cuka belanda,-5
cuka jawa,-5
cukupan,-3
cumbu,-3
cumbuan,-3
cunam,-3
cupet,-5
cupul,-5
cura,-3
curang,-5
curat,-1
curcol,-3
curi,-5
curiga,-3
curna,-5
curu,-3
cutel,-4
dabih,-3
dada besar,-2
dadah,-4
daging tumbuh,-4
dah,-3
dahh,-3
dahiat,-5
dahlah,-3
daif,-3
daing,-4
dajal,-5
dakap,-3
daki,-4
dalal,-3
dalalah,-5
dalih,-4
dalil,-3
dampak,-3
damprat,-4
dampratan,-5
dangkap,-3
dangkar,-4
dangkung,-3
danyang,-4
dapra,-3
darah dingin,-4
daras,-5
datang hati,-5
datuk,-4
daya muat,-2
daya serap,-2
daya tampung,-2
death,-3
debil,-5
debu,-3
dedak,-3
dedemit,-4
defekasi,-5
defisit,-3
degil,-5
dekaden,-5
dekadensi,-5
dekap,-2
dekil,-5
deklarasi,-3
delay,-3
delegasi,-4
delete,-3
demek,-4
demo,-3
demon,-3
demonstrasi,-3
dempet,-3
denai,-4
dendam,-5
dendam berahi,-3
dendeng,-4
denger,-3
dengki,-5
dengkik,-4
dengkul,-3
dengkur,-3
dengu,-3
dengung,-3
dengus,-3
dengut,-3
depak,-3
depresi,-4
deraan,-5
derai,-3
derek,-5
deriji,-4
dering,-3
derita,-5
deru,-3
derum,-4
desah,-3
desak,-2
desas-desus,-5
desau,-3
desersi,-3
desir,-2
destar,-4
detak,-3
detektif,-3
dewan,-3
diajarin,-3
diancurin,-3
